id,clutch,day_hatch,day_photo,temp,egg_treat,sp,mass)hatch,SVL_hatch,Tail_length_hatch,Weigth,Distance.moved,Time_hide_sec,Time_snout_sec,Time_emerge_sec,SVL,Tail,Total,Tail_intact,day,speed_1m_s,burst_25cm,25fast,age,Notes,Notes.1,Notes.2.y
LD258_20,Cl076_20,8/12/2020,31/1/2021,hot,ablated,Deli,0.091,18.23,23.082,0.257,718.987,27,1580,2534,23.566,36.614,60.18,Yes,1,6.42,1.99,1.17,54,,,
LD263_20,CL078_20,12/12/2020,31/1/2021,hot,control,Deli,0.128,17.967,26.803,0.394,422.47,NA,NA,NA,27.002,42.175,69.177,Yes,1,3.16,0.95,0.62,50,,,
LD264_20,CL078_20,11/12/2020,21/2/2021,hot,ablated,Deli,0.118,18.337,23.742,0.383,823.588,5,3155,4428,25.559,40.586,66.145,Yes,1,2.53,0.78,0.51,72,,,
LD269_20,CL079_20,28/12/2020,21/2/2021,cold,control,Deli,0.134,NA,NA,0.383,1096.57,3,218,455,24.703,32.739,57.442,Yes,1,3.73,1.1,0.79,55,,,
LD280_20,CL084_20,11/12/2020,11/2/2021,hot,control,Deli,0.098,17.796,23.637,0.277,556.201,4,4100,5503,23.846,36.798,60.644,Yes,1,3.27,1.15,0.66,62,,,
LD281_20,CL084_20,11/12/2020,21/2/2021,hot,ablated,Deli,0.094,17.758,20.583,0.429,492.34,81,NA,NA,26.948,37.733,64.681,Yes,1,3.36,1.17,0.56,72,,,
LD282_20,CL084_20,29/12/2020,11/2/2021,cold,ablated,Deli,0.093,17.119,21.215,0.229,537.094,2,3719,NA,23.016,31.173,54.189,Yes,1,7.03,2.42,1.35,44,,,
LD283_20,CL084_20,29/12/2020,21/2/2021,cold,control,Deli,0.101,17.278,23.311,0.295,657.937,2,2135,3728,22.994,34.573,57.567,Yes,1,2.86,0.99,0.47,54,,,
LD287_20,CL086_20,24/12/2020,31/1/2021,cold,control,Deli,0.102,18.378,22.603,0.21,555.565,69,729,1452,20.72,31.569,52.289,Yes,1,2.37,0.7,0.5,38,,,
LD290_20,CL086_20,8/12/2020,31/1/2021,hot,control,Deli,0.116,18.432,25.478,0.362,369.22,568,2084,5270,26.745,35.738,62.483,Yes,1,3.33,1.07,0.68,54,,,
LD291_20,CL087_20,30/12/2020,21/2/2021,cold,control,Deli,0.141,18.901,25.878,0.312,703.802,21,1326,4740,24.936,35.737,60.673,No,1,5.98,1.67,1.23,53,stick to tape and drop ~2cm tail before sprint speed,,
