id,clutch,temp,egg_treat,sp,Weigth,SVL,Tail,Total,age
LG233_20,CL068_20,cold,control,Guich,0.369,24.89,38.769,63.659,43
LG234_20,CL068_20,cold,ablated,Guich,0.351,23.754,35.988,59.742,62
LG247_20,CL072_20,cold,control,Guich,0.294,25.007,NA,NA,42
LG252_20,CL074_20,cold,control,Guich,0.381,25.449,38.531,63.98,60
LG272_20,CL081_20,hot,control,Guich,0.53,28.565,43.142,71.707,70
LG274_20,CL081_20,hot,ablated,Guich,0.585,29.628,44.241,73.869,80
LG276_20,CL082_20,hot,ablated,Guich,0.49,29.512,NA,NA,81
LG296_20,CL088_20,hot,ablated,Guich,0.345,25.041,NA,NA,58
LG297_20,CL089_20,hot,control,Guich,0.438,26.814,42.742,69.556,70
LG300_20,CL090_20,hot,control,Guich,0.423,25.145,42.529,67.674,46
LG304_20,CL091_20,hot,ablated,Guich,0.418,25.249,NA,NA,61
LG305_20,CL092_20,cold,control,Guich,0.23,22.188,30.59,52.778,49
LG306_20,CL092_20,hot,control,Guich,0.49,26.816,NA,NA,59
LG307_20,CL092_20,cold,ablated,Guich,0.257,23.207,31.873,55.08,49
LG314_20,CL094_20,cold,ablated,Guich,0.197,21.076,27.99,49.066,58
LG315_20,CL094_20,hot,ablated,Guich,0.293,24.262,36.55,60.812,58
LG316_20,CL095_20,hot,ablated,Guich,0.516,26.215,NA,NA,73
LG317_20,CL095_20,cold,control,Guich,0.339,24.469,36.589,61.058,45
LG318_20,CL095_20,hot,control,Guich,0.42,27.078,42.079,69.157,56
LG320_20,CL095_20,hot,ablated,Guich,0.402,26.675,42.074,68.749,43
LG321_20,CL095_20,cold,control,Guich,0.245,22.872,31.149,54.021,45
LG322_20,CL095_20,hot,control,Guich,0.347,26.293,38.721,65.014,44
LG324_20,CL096_20,hot,ablated,Guich,0.393,26.835,NA,NA,44
LG325_20,CL096_20,cold,control,Guich,0.299,23.306,36.422,59.728,46
LG341_20,CL099_20,cold,ablated,Guich,0.241,22.511,30.771,53.282,58
LG366_20,CL106_20,cold,control,Guich,0.324,25.207,34.376,59.583,53
LG368_20,CL107_20,hot,ablated,Guich,0.395,26.057,39.706,65.763,65
