id,age,day_hatch,temp,egg_treat,sp,Weigth,Distance.moved1,Distance.moved2,Distance.moved3,mean_dist,Movement,Movement.1,Movement.2,Movement.3,Movement.4,Movement.5,mean_tohide,Time_snout_sec1,Time_snout_sec2,Time_snout_sec3,mean_snout,Time_emerge_sec1,Time_emerge_sec3,Time_emerge_sec3,mean_emerge,Notes.y,bd_liz_id.y,SVL,Tail,Total,Tail_intact,Notes,Notes.1,Notes.2.y,day,speed_1m_s1,speed_1m_s2,speed_1m_s3,mean_1m,burst_25cm1,burst_25cm2,burst_25cm3,mean_25cm
LD191_20,58,4/12/2020,hot,ablated,Deli,0.363,886.822,1232.79,1416.11,1178.574,149.96,0.039999,1050.08,0.999997,NA,NA,9,4722,NA,3134,3928,NA,NA,3637,3637,,LD191_20,26.108,39.914,66.022,Yes,,,,1,6.69,3.98,6.96,5.876666667,2.85,1.49,2.06,2.133333333
LD227_20,68,5/12/2020,hot,ablated,Deli,0.322,813.81,891.769,793.288,832.9556667,151.92,17.04,1013.8,0.039999,NA,NA,17.66666667,4729,991,4382,3367.333333,NA,NA,NA,NA,,LD227_20,27.068,NA,NA,Yes,tail tip is invisible,,,1,7.17,13.66,15.03,11.95333333,2.19,4.12,5.55,3.953333333
LD242_20,75,8/12/2020,hot,ablated,Deli,0.471,464.31,462.089,730.126,552.175,1.1259,68.6798,10.08,17.9935,1115.6,0.039999,19.66666667,497,NA,2605,1551,NA,3681,4177,3929,,LD242_20,26.523,42.097,68.62,Yes,,,,1,2.89,3.27,3.82,3.326666667,0.78,1.08,1.01,0.956666667
LD258_20,54,8/12/2020,hot,ablated,Deli,0.257,718.987,846.211,809.597,791.5983333,1.5456,115.92,157.96,14.2647,1084.12,0.039999,13.66666667,1580,704,2872,1718.666667,2534,3061,4074,3223,,LD258_20,23.566,36.614,60.18,Yes,,,,1,6.42,3.66,3.83,4.636666667,1.99,1.04,1.2,1.41
LD264_20,72,11/12/2020,hot,ablated,Deli,0.383,823.588,595.951,786.662,735.4003333,144.4,22.5999,1055.64,0.039999,NA,NA,3.666666667,3155,2476,2040,2557,4428,4928,4263,4539.666667,,LD264_20,25.559,40.586,66.145,Yes,,,,1,2.53,3.02,2.46,2.67,0.78,0.99,0.89,0.886666667
LD281_20,72,11/12/2020,hot,ablated,Deli,0.429,492.34,589.857,206.895,429.6973333,98.0798,624.118,1094.88,0.039999,NA,NA,42.66666667,NA,335,39,187,NA,NA,4419,4419,,LD281_20,26.948,37.733,64.681,Yes,,,,1,3.36,2.69,3.78,3.276666667,1.17,0.92,1.45,1.18
LD312_20,79,13/12/2020,hot,ablated,Deli,0.325,307.11,191.535,400.088,299.5776667,53.6799,519.399,1146.36,0.039999,NA,NA,1.333333333,867,1463,2023,1451,3492,NA,NA,3492,,LD312_20,24.108,40.238,64.346,Yes,,,,1,3.8,4.56,5.13,4.496666667,1.11,1.67,2.63,1.803333333
LD361_20,44,18/12/2020,hot,ablated,Deli,0.257,927.828,949.495,1034.77,970.6976667,1.10836,182.88,2.59999,6.16459,1017.16,0.039999,25.33333333,1364,NA,2044,1704,2630,3739,2914,3094.333333,,LD361_20,21.392,35.761,57.153,Yes,,,,1,3.61,4.84,8.75,5.733333333,1.41,1.88,3.11,2.133333333
LD365_20,58,15/12/2020,hot,ablated,Deli,0.256,1121.04,1266.5,1535.96,1307.833333,181.2,28.3199,985.758,0.039999,NA,NA,14.33333333,5624,1875,332,2610.333333,NA,1361,424,892.5,,LD365_20,22.08,34.559,56.639,Yes,,,,1,3.36,4.15,3.4,3.636666667,1.15,1.33,1.02,1.166666667
LD374_20,54,19/12/2020,hot,ablated,Deli,0.228,589.483,474.413,769.589,611.1616667,1.24413,108.24,212.279,12.4068,1091.8,0.039999,6.666666667,NA,5031,NA,5031,NA,NA,NA,NA,,LD374_20,21.585,NA,NA,Yes,tail tip is invisible,,,1,5.15,4.31,6.22,5.226666667,1.52,1.2,2.03,1.583333333
LD383_20,54,19/12/2020,hot,ablated,Deli,0.242,580.773,260.107,404.973,415.2843333,1.19647,122.04,4.79999,10.2884,1070,0.039999,36.66666667,NA,1451,NA,1451,NA,NA,NA,NA,,LD383_20,23.146,35.483,58.629,Yes,,,,1,3.59,3.21,3.22,3.34,1.16,0.95,0.93,1.013333333
LD387_20,61,22/12/2020,hot,ablated,Deli,0.418,816.123,861.485,480.632,719.4133333,151.64,151.92,960.878,0.039999,NA,NA,10.33333333,1282,1287,1351,1306.666667,2582,2737,2276,2531.666667,,LD387_20,27.17,41.069,68.239,Yes,,,,1,3.88,4.01,5.23,4.373333333,1.34,1.28,1.86,1.493333333
LD423_20,58,25/12/2020,hot,ablated,Deli,0.28,723.583,803.434,558.782,695.2663333,1.22348,133.36,149.88,9.46179,1040.8,0.039999,5.666666667,719,2125,1327,1390.333333,1610,1707,1926,1747.666667,,LD423_20,23.383,28.544,51.927,No,,drop 1cm tail,,1,7.55,6.64,12.5,8.896666667,2.11,2.03,4.12,2.753333333
LD430_20,36,26/12/2020,hot,ablated,Deli,0.226,1328.12,326.009,NA,827.0645,223.679,0.119999,976.358,0.039999,NA,NA,27.5,2449,1934,NA,2191.5,NA,841,NA,841,,LD430_20,NA,NA,NA,Yes,cannot see cloaca,V2.2 wrong,"DAY 3 All NA, WRONG",1,4.23,5.96,NA,5.095,1.33,1.6,0,0.976666667
LD442_20,45,28/12/2020,hot,ablated,Deli,0.238,670.84,811.828,779.085,753.9176667,119.2,3.39999,1080.84,0.039999,NA,NA,5,NA,NA,1793,1793,NA,NA,2457,2457,,LD442_20,22.747,NA,NA,Yes,tail tip is invisible,,,1,2.99,2.68,2.34,2.67,0.89,0.81,0.66,0.786666667
LD482_20,61,31/12/2020,hot,ablated,Deli,0.308,366.715,192.998,387.933,315.882,1.1453,56.1199,287.679,22.8783,1143.92,0.039999,6.333333333,NA,2462,NA,2462,NA,NA,NA,NA,,LD482_20,23.152,36.71,59.862,Yes,,,,1,5.24,4.82,5.34,5.133333333,1.52,1.5,1.51,1.51
LD490_20,60,1/1/2021,hot,ablated,Deli,0.291,251.52,646.936,199.68,366.0453333,0.713468,34.9599,22.0399,23.3015,1165.08,0.039999,19.33333333,NA,838,4604,2721,NA,NA,NA,NA,,LD490_20,24.117,36.264,60.381,Yes,,,,1,4.83,5.07,5.45,5.116666667,1.45,1.54,1.55,1.513333333
LD027_20,54,8/12/2020,cold,control,Deli,0.324,661.613,429.848,722.443,604.6346667,1.0958,130.4,0.279999,8.91364,1069.64,0.039999,11.66666667,2887,521,932,1446.666667,3724,1994,2376,2698,,LD027_20,25.34,36.999,62.339,Yes,,,,1,2.71,3.13,2.38,2.74,1.07,1.24,0.65,0.986666667
LD035_20,66,7/12/2020,cold,control,Deli,0.359,62.0564,321.274,45.4606,142.9303333,6.91998,499.639,1193.12,0.039999,NA,NA,14.66666667,2036,3493,802,2110.333333,5219,2806,2945,3656.666667,,LD035_20,26.035,35.531,61.566,Yes,,,,1,3.21,3.03,3.19,3.143333333,1.21,0.91,1.08,1.066666667
LD047_20,52,10/12/2020,cold,control,Deli,0.345,482.63,638.514,249.61,456.918,0.852306,77.5598,148.64,12.2008,1122.48,0.039999,11.66666667,4844,3540,3017,3800.333333,NA,NA,4049,4049,,LD047_20,25.286,NA,NA,Yes,tail tip is invisible,,,1,2.84,3.33,3.25,3.14,0.76,0.95,1,0.903333333
LD049_20,48,14/12/2020,cold,control,Deli,0.288,1582.96,640.813,861.285,1028.352667,0.80696,273.559,85.9198,2.72493,926.478,0.039999,9.333333333,3796,174,NA,1985,5023,NA,NA,5023,,LD049_20,23.907,36.375,60.282,Yes,,,,1,3.11,2.57,2.52,2.733333333,1.15,0.71,0.69,0.85
LD065_20,69,14/12/2020,cold,control,Deli,0.55,612.983,634.758,128.411,458.7173333,1.16141,98.7198,250.999,12.6214,1085.44,0.039999,10.33333333,798,4880,1987,2555,3266,2455,2589,2770,,LD065_20,NA,NA,NA,Yes,"no photo, probably with wrong ID (LD064)",,,1,3.84,2.94,4.49,3.756666667,1.27,0.79,1.49,1.183333333
LD076_20,55,18/12/2020,cold,control,Deli,0.311,980.76,788.581,927.053,898.798,158.76,46.2399,1023.16,0.039999,NA,NA,6.333333333,1017,1039,4253,2103,3492,4013,NA,3752.5,,LD076_20,26.254,39.122,65.376,Yes,,,,1,5.6,5.94,5.75,5.763333333,1.84,1.7,1.72,1.753333333
LD169_20,50,23/12/2020,cold,control,Deli,0.328,654.254,802.726,1029.81,828.93,1.00991,122.2,0.039999,8.90775,1077.84,0.679998,2.333333333,1646,2755,3707,2702.666667,3649,4968,5482,4699.666667,,LD169_20,24.75,34.177,58.927,Yes,,,,1,2.85,2.44,2.66,2.65,0.83,0.71,0.75,0.763333333
LD181_20,50,23/12/2020,cold,control,Deli,0.258,31.7252,201.996,173.007,135.5760667,NA,0,NA,1200.04,1200.04,0.039999,12,3267,6066,2146,3826.333333,3626,NA,2294,2960,,LD181_20,23.755,36.369,60.124,Yes,,,,1,2.98,2.62,2.49,2.696666667,0.97,0.86,0.75,0.86
LD185_20,64,28/12/2020,cold,control,Deli,0.296,1063.4,851.147,911.627,942.058,1.27561,209.199,4.39999,6.00508,990.838,0.039999,2.666666667,3671,NA,2511,3091,NA,NA,NA,NA,,LD185_20,23.516,31.79,55.306,Yes,,,,1,4.2,9.95,4.03,6.06,1.4,6.54,1.21,3.05
LD201_20,47,26/12/2020,cold,control,Deli,0.268,620.13,1010.92,912.871,847.9736667,137.72,338.719,1062.32,0.039999,NA,NA,7,NA,NA,1423,1423,NA,NA,2029,2029,,LD201_20,23.051,38.254,61.305,Yes,,,,1,2.65,3.04,4.65,3.446666667,0.82,0.92,2.97,1.57
LD209_20,38,24/12/2020,cold,control,Deli,0.255,315.902,486.965,930.684,577.8503333,0.85049,51.8799,4.27999,18.5187,1148.16,0.039999,22.33333333,799,3101,896,1598.666667,3902,3572,946,2806.666667,,LD209_20,22.109,36.438,58.547,Yes,,Second run; turn back several times,,1,2.49,10.11,3.16,5.253333333,0.83,5.58,1.38,2.596666667
LD238_20,50,23/12/2020,cold,control,Deli,0.24,567.284,884.971,886.48,779.5783333,1.26181,111.04,239.519,12.2359,1089,0.039999,8.666666667,3274,2800,1475,2516.333333,4642,1702,2156,2833.333333,,LD238_20,22.569,31.419,53.988,Yes,,,,1,3.12,2.63,2.5,2.75,1.06,0.73,0.73,0.84
LD269_20,55,28/12/2020,cold,control,Deli,0.383,1096.57,490.288,909.59,832.1493333,0.959678,239.919,23.5199,3.76142,944.118,0.039999,3.666666667,218,2550,829,1199,455,3783,2977,2405,,LD269_20,24.703,32.739,57.442,Yes,,,,1,3.73,5.82,7,5.516666667,1.1,2.01,2.41,1.84
LD283_20,54,29/12/2020,cold,control,Deli,0.295,657.937,546.744,664.541,623.074,114.04,7.15998,1086,0.039999,NA,NA,2,2135,4223,1534,2630.666667,3728,2225,3429,3127.333333,,LD283_20,22.994,34.573,57.567,Yes,,,,1,2.86,5.97,3.74,4.19,0.99,3.8,1.12,1.97
