id,clutch,day_hatch,day_photo,temp,egg_treat,sp,Weigth,Distance.moved,Movement,Movement.1,Movement.2,Movement.3,Movement.4,Movement.5,Time_hide_sec,Time_snout_sec,Time_emerge_sec,Notes.y,bd_liz_id.y,SVL,Tail,Total,Tail_intact,Notes,Notes.1,Notes.2.y,day,speed_1m_s,burst_25cm,day_hatch,day_photo,age
LG122_20,CL034_20,4/12/2020,31/1/2021,hot,ablated,Guich,0.346,1036.87,150.88,62.0798,1031.2,0.039999,NA,NA,5,795,908,,LG122_20,25.821,36.934,62.755,Yes,,,,3,3.4,1.01,4/12/2020,31/1/2021,58
LG135_20,CL038_20,6/12/2020,11/2/2021,hot,control,Guich,0.529,661.918,108.8,32.2399,1091.04,0.039999,NA,NA,1,104,1463,,LG135_20,28.481,NA,NA,Yes,tail tip is invisible,,,3,3.08,1.13,6/12/2020,11/2/2021,67
LG141_20,CL040_20,24/12/2020,31/1/2021,cold,ablated,Guich,0.468,1393.79,0.518824,282.759,0.239999,1.66776,910.598,0.039999,28,199,1922,,LG141_20,26.249,41.329,67.578,Yes,,,,3,4.67,1.74,24/12/2020,31/1/2021,38
LG142_20,CL041_20,26/12/2020,21/2/2021,cold,ablated,Guich,0.346,424.755,0.887232,83.3998,374.159,11.0337,1048.2,0.039999,3,889,2459,,LG142_20,25.001,NA,NA,Yes,,,,3,3.16,1.51,26/12/2020,21/2/2021,57
LG144_20,CL042_20,3/12/2020,31/1/2021,hot,ablated,Guich,0.453,2055.46,250.679,0.039999,948.678,0.839997,NA,NA,25,30,86,,LG144_20,27.927,40.804,68.731,Yes,,,,3,4.4,2.14,3/12/2020,31/1/2021,59
LG145_20,CL043_20,6/12/2020,11/2/2021,hot,control,Guich,0.393,1099.34,201.959,0.239999,998.078,0.039999,NA,NA,6,14,148,,LG145_20,27.189,37.898,65.087,Yes,,,,3,5.31,2.67,6/12/2020,11/2/2021,67
LG147_20,CL044_20,29/12/2020,21/2/2021,cold,ablated,Guich,0.416,1259.27,1.18666,227.839,99.5598,4.68268,903.758,0.039999,5,358,1057,,LG147_20,NA,NA,NA,Yes,no photo,,,3,4.25,1.54,29/12/2020,21/2/2021,54
LG148_20,CL044_20,6/12/2020,11/2/2021,hot,ablated,Guich,0.439,695.148,99.1198,0.039999,1086.36,0.239999,NA,NA,3,295,1010,,LG148_20,28.577,39.293,67.87,Yes,,,,3,3.12,1,6/12/2020,11/2/2021,67
LG149_20,CL044_20,7/12/2020,31/1/2021,hot,control,Guich,0.441,1002.34,150.32,46.7199,1047.92,0.039999,NA,NA,3,1503,1522,,LG149_20,29.464,36.962,66.426,Yes,V1.2 wrong,,,3,3.83,1.47,7/12/2020,31/1/2021,55
LG150_20,CL044_20,29/12/2020,11/2/2021,cold,control,Guich,0.326,719.752,145.28,80.8798,1054.76,0.039999,NA,NA,1,2135,NA,,LG150_20,24.868,33.603,58.471,Yes,,,,3,16.29,5.73,29/12/2020,11/2/2021,44
LG159_20,CL047_20,7/12/2020,2/3/2021,hot,control,Guich,0.59,716.695,128.76,40.9599,1071.28,0.039999,NA,NA,21,58,1293,,LG159_20,28.258,49.537,77.795,Yes,,,,3,9,4.03,7/12/2020,2/3/2021,85
LG160_20,CL047_20,24/12/2020,31/1/2021,cold,ablated,Guich,0.476,809.354,120.68,2.99999,1075.08,0.039999,NA,NA,2,8,335,,LG160_20,28.591,39.573,68.164,Yes,,,,3,11.51,4.48,24/12/2020,31/1/2021,38
LG174_20,CL051_20,26/12/2020,31/1/2021,cold,ablated,Guich,0.367,866.166,130.76,23.0799,1069.28,0.039999,NA,NA,72,408,499,,LG174_20,24.941,NA,NA,No,drop 1cm tail before measurement,,,3,5.01,1.58,26/12/2020,31/1/2021,36
LG176_20,CL051_20,6/12/2020,21/2/2021,hot,control,Guich,0.626,603.834,0.834238,104.28,170.36,8.14093,1025.76,0.039999,11,3068,NA,,LG176_20,30.107,50.163,80.27,Yes,,,,3,5.66,2.31,6/12/2020,21/2/2021,77
LG195_20,CL056_20,8/12/2020,21/2/2021,hot,control,Guich,0.469,369.508,1.15054,63.2798,330.399,20.1478,1128.28,0.039999,7,84,1817,,LG195_20,29.483,41.951,71.434,Yes,,,,3,3.25,1.25,8/12/2020,21/2/2021,75
LG197_20,CL056_20,29/12/2020,11/2/2021,cold,ablated,Guich,0.254,1463.03,1.39847,255.919,28.1599,5.13107,944.118,0.039999,8,3586,4073,,LG197_20,24.01,32.081,56.091,Yes,,,,3,2.68,0.85,29/12/2020,11/2/2021,44
LG212_20,CL061_20,9/12/2020,31/1/2021,hot,control,Guich,0.416,1106.64,0.766239,216.079,0.039999,3.46552,977.278,0.119999,5,NA,NA,,LG212_20,26.336,NA,NA,Yes,tail tip is invisible,,,3,2.74,0.91,9/12/2020,31/1/2021,53
LG213_20,CL061_20,30/12/2020,11/2/2021,cold,ablated,Guich,0.278,779.655,145.24,275.439,1054.8,0.039999,NA,NA,1,13,613,,LG213_20,22.356,31.747,54.103,Yes,,,,3,3.63,1.29,30/12/2020,11/2/2021,43
LG214_20,CL062_20,9/12/2020,2/3/2021,hot,control,Guich,0.505,685.236,124.96,42.1999,1075.08,0.039999,NA,NA,23,171,564,,LG214_20,28.484,43.116,71.6,Yes,,,,3,3.82,1.45,9/12/2020,2/3/2021,83
LG217_20,CL063_20,8/12/2020,11/2/2021,hot,control,Guich,0.451,713.993,0.831136,138.8,110.92,6.31689,1061.24,0.039999,12,13,NA,,LG217_20,26.533,41.963,68.496,Yes,,,,3,3.28,0.98,8/12/2020,11/2/2021,65
LG219_20,CL064_20,10/12/2020,2/3/2021,hot,control,Guich,0.61,1096.53,135.2,41.2399,1064.84,0.039999,NA,NA,7,1250,1324,,LG219_20,27.977,49.313,77.29,Yes,,,,3,4.71,1.7,10/12/2020,2/3/2021,82
