"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","mass.hatch","SVL_hatch","Tail_length_hatch","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","X25fast","age","Notes","Notes.1","Notes.2.y","time_tohide","time_hiding","time_active","maternal","scaleage","svldeli","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec","z_svl"
"224","LD282_20","CL084_20","29/12/2020","11/2/2021","cold","ablated","Deli",NA,NA,NA,0.229,538.044,2,NA,NA,23.016,31.173,54.189,"Yes",2,5.35,1.45,1.24,44,"","","",2,NA,NA,"ablated",-1.01383298749915,-0.49704317446801,NA,1.67709656090792,0.215111379616945,NA,-0.49704317446801
"225","LD283_20","CL084_20","29/12/2020","21/2/2021","cold","control","Deli",NA,NA,NA,0.295,546.744,3,990,2225,22.994,34.573,57.567,"Yes",2,5.97,3.8,0.68,54,"","","",3,990,2225,"control",-0.178796127640353,-0.508148771281736,6.89770494312864,1.78674692740451,-0.385662480811985,7.70751219460034,-0.508148771281736
"226","LD287_20","CL086_20","24/12/2020","31/1/2021","cold","control","Deli",NA,NA,NA,0.21,623.415,207,4219,4571,20.72,31.569,52.289,"Yes",2,2.48,0.74,0.54,38,"","","",207,4219,4571,"control",-1.51485510341442,-1.65606364193692,8.34735341212434,0.908258560176891,-0.616186139423817,8.42748727833174,-1.65606364193692
"227","LD290_20","CL086_20","8/12/2020","31/1/2021","hot","control","Deli",NA,NA,NA,0.362,1410.84,3,1463,NA,26.745,35.738,62.483,"Yes",2,3.34,1.19,0.65,54,"","","",3,1463,NA,"control",-0.178796127640353,1.38535548545863,7.28824440102012,1.20597080698861,-0.430782916092454,NA,1.38535548545863
"229","LD292_20","CL087_20","30/12/2020","21/2/2021","cold","ablated","Deli",NA,NA,NA,0.327,1238.84,13,1143,1497,23.439,41.258,64.697,"Yes",2,2.45,0.87,0.34,53,"","","",13,1143,1497,"ablated",-0.262299813626232,-0.283512835731359,7.04141166379481,0.896088024556636,-1.07880966137193,7.31121838441963,-0.283512835731359
"230","LD294_20","CL087_20","12/12/2020","11/2/2021","hot","control","Deli",NA,NA,NA,0.416,1095.55,21,1738,4238,26.394,40.788,67.182,"Yes",2,2.84,0.89,0.52,61,"","","",21,1738,4238,"control",0.405729674260802,1.20817073629417,7.46049030582534,1.04380405217311,-0.653926467406664,8.35184673882824,1.20817073629417
"231","LD311_20","CL093_20","31/12/2020","21/2/2021","cold","ablated","Deli",NA,NA,NA,0.276,620.098,19,NA,NA,22.91,32.631,55.541,"Yes",2,9.01,3.74,0.85,52,"","","",19,NA,NA,"ablated",-0.345803499612112,-0.550551959115964,NA,2.19833507162025,-0.162518929497775,NA,-0.550551959115964
"232","LD312_20","CL093_20","13/12/2020","2/3/2021","hot","ablated","Deli",NA,NA,NA,0.325,191.535,2,NA,NA,24.108,40.238,64.346,"Yes",2,4.56,1.67,0.83,79,"","","",2,NA,NA,"ablated",1.90879602200663,0.0541982673769589,NA,1.51732262352629,-0.186329578191493,NA,0.0541982673769589
"233","LD332_20","CL097_20","15/12/2020","21/2/2021","hot","control","Deli",NA,NA,NA,0.351,936.127,19,1691,NA,25.365,NA,NA,"Yes",2,3.47,1.06,0.67,68,"","","",19,1691,NA,"control",0.990255476161957,0.688731685324874,7.43307534889858,1.24415459395877,-0.400477566597125,NA,0.688731685324874
"234","LD333_20","CL097_20","2/1/2021","2/3/2021","cold","ablated","Deli",NA,NA,NA,0.263,1101.21,10,629,1889,22.451,32.773,55.224,"Yes",2,25.94,17.3,1.35,59,"","","",10,629,1889,"ablated",0.238722302289043,-0.782255092638711,6.44413125670044,3.2557861788883,0.300104592450338,7.54380286750151,-0.782255092638711
"235","LD336_20","CL098_20","14/12/2020","2/3/2021","hot","control","Deli",NA,NA,NA,0.327,175.198,159,NA,NA,21.897,NA,NA,"Yes",2,4.7,1.44,0.76,78,"","","",159,NA,NA,"control",1.82529233602075,-1.06191421240255,NA,1.54756250871601,-0.27443684570176,NA,-1.06191421240255
