"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","age","Notes","Notes.1","Notes.2.y","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec"
"37","LD238_20","CL069_20","23/12/2020","11/2/2021","cold","control","Deli",0.24,567.284,2,3274,4642,22.569,31.419,53.988,"Yes",1,3.12,1.06,50,"","","",8.09376775793108,1.13783300182139,0.0582689081239758,8.44290058683438
"38","LD241_20","CL070_20","25/12/2020","31/1/2021","cold","ablated","Deli",0.251,781.715,31,NA,NA,21.882,33.909,55.791,"Yes",1,3.24,1.04,37,"","","",NA,1.17557332980424,0.0392207131532813,NA
"39","LD242_20","CL070_20","8/12/2020","21/2/2021","hot","ablated","Deli",0.471,464.31,44,497,NA,26.523,42.097,68.62,"Yes",1,2.89,0.78,75,"","","",6.20859002609663,1.06125650212434,-0.2484613592985,NA
"40","LD243_20","CL070_20","25/12/2020","31/1/2021","cold","ablated","Deli",0.211,1406.93,27,2529,2751,22.596,31.302,53.898,"Yes",1,4.5,1.26,37,"","","",7.83557924666997,1.50407739677627,0.231111720963387,7.91971976092457
"41","LD257_20","Cl076_20","28/12/2020","11/2/2021","cold","ablated","Deli",0.259,485.262,11,3523,3776,21.873,33.795,55.668,"Yes",1,4.97,2.08,45,"","","",8.16706817834124,1.60341984010854,0.732367893713227,8.23642052726539
"42","LD258_20","Cl076_20","8/12/2020","31/1/2021","hot","ablated","Deli",0.257,718.987,27,1580,2534,23.566,36.614,60.18,"Yes",1,6.42,1.99,54,"","","",7.36518012602101,1.85941811770187,0.688134638736401,7.83755436088108
"43","LD263_20","CL078_20","12/12/2020","31/1/2021","hot","control","Deli",0.394,422.47,NA,NA,NA,27.002,42.175,69.177,"Yes",1,3.16,0.95,50,"","","",NA,1.15057202759882,-0.0512932943875506,NA
"44","LD264_20","CL078_20","11/12/2020","21/2/2021","hot","ablated","Deli",0.383,823.588,5,3155,4428,25.559,40.586,66.145,"Yes",1,2.53,0.78,72,"","","",8.05674377497531,0.928219302739429,-0.2484613592985,8.39570329382853
"45","LD269_20","CL079_20","28/12/2020","21/2/2021","cold","control","Deli",0.383,1096.57,3,218,455,24.703,32.739,57.442,"Yes",1,3.73,1.1,55,"","","",5.38449506278909,1.31640823365572,0.0953101798043249,6.12029741895095
"46","LD280_20","CL084_20","11/12/2020","11/2/2021","hot","control","Deli",0.277,556.201,4,4100,5503,23.846,36.798,60.644,"Yes",1,3.27,1.15,62,"","","",8.3187422526924,1.18478998490916,0.139761942375159,8.61304867705976
