"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","Weigth","Distance.moved","Movement","Movement.1","Movement.2","Movement.3","Movement.4","Movement.5","Time_hide_sec","Time_snout_sec","Time_emerge_sec","Notes.y","bd_liz_id.y","SVL","Tail","Total","Tail_intact","Notes","Notes.1","Notes.2.y","day","speed_1m_s","burst_25cm","day_hatch.1","day_photo.1","age","time_tohide","time_hiding","time_active","maternal"
"120","LG148_20","CL044_20","6/12/2020","11/2/2021","hot","ablated","Guich",0.439,1026.16,187.4,75.1998,1012.64,0.039999,NA,NA,6,1246,2970,"","LG148_20",28.577,39.293,67.87,"Yes","","","",1,5.23,1.58,"6/12/2020","11/2/2021",67,6,1246,2970,"ablated"
"121","LG149_20","CL044_20","7/12/2020","31/1/2021","hot","control","Guich",0.441,648.837,106.92,12.64,1088.52,0.039999,NA,NA,1,1423,1512,"","LG149_20",29.464,36.962,66.426,"Yes","V1.2 wrong","","",1,4.07,2.07,"7/12/2020","31/1/2021",55,1,1423,1512,"control"
"122","LG150_20","CL044_20","29/12/2020","11/2/2021","cold","control","Guich",0.326,787.871,150.88,76.3198,1049.16,0.039999,NA,NA,7,1633,NA,"","LG150_20",24.868,33.603,58.471,"Yes","","","",1,10.63,4.05,"29/12/2020","11/2/2021",44,7,1633,NA,"control"
"123","LG159_20","CL047_20","7/12/2020","2/3/2021","hot","control","Guich",0.59,271.166,33.1199,964.918,1166.92,0.039999,NA,NA,4,1838,2995,"","LG159_20",28.258,49.537,77.795,"Yes","","","",1,4.78,1.56,"7/12/2020","2/3/2021",85,4,1838,2995,"control"
"124","LG160_20","CL047_20","24/12/2020","31/1/2021","cold","ablated","Guich",0.476,475.002,95.5998,156.96,1104.44,0.039999,NA,NA,11,629,1403,"","LG160_20",28.591,39.573,68.164,"Yes","","","",1,9.99,5.79,"24/12/2020","31/1/2021",38,11,629,1403,"ablated"
"126","LG176_20","CL051_20","6/12/2020","21/2/2021","hot","control","Guich",0.626,444.999,0.884299,82.2398,285.079,11.7212,1101.8,0.039999,9,1596,2680,"","LG176_20",30.107,50.163,80.27,"Yes","","","",1,6.83,5.53,"6/12/2020","21/2/2021",77,9,1596,2680,"control"
"127","LG195_20","CL056_20","8/12/2020","21/2/2021","hot","control","Guich",0.469,532.828,1.05253,70.5198,30.4799,16.3788,1113.76,0.039999,12,634,2561,"","LG195_20",29.483,41.951,71.434,"Yes","","","",1,8.24,2.31,"8/12/2020","21/2/2021",75,12,634,2561,"control"
"128","LG197_20","CL056_20","29/12/2020","11/2/2021","cold","ablated","Guich",0.254,149.931,1.25176,21.2799,77.4398,65.4865,1178.76,0.039999,9,1611,3314,"","LG197_20",24.01,32.081,56.091,"Yes","","","",1,10.85,7.1,"29/12/2020","11/2/2021",44,9,1611,3314,"ablated"
"129","LG212_20","CL061_20","9/12/2020","31/1/2021","hot","control","Guich",0.416,1004.09,0.712335,185.92,0.959997,3.87068,1014.12,0.039999,37,NA,NA,"","LG212_20",26.336,NA,NA,"Yes","tail tip is invisible","","",1,4.41,2.37,"9/12/2020","31/1/2021",53,37,NA,NA,"control"
"130","LG213_20","CL061_20","30/12/2020","11/2/2021","cold","ablated","Guich",0.278,762.912,155.64,354.519,1044.4,0.039999,NA,NA,195,581,805,"","LG213_20",22.356,31.747,54.103,"Yes","","","",1,4.18,1.61,"30/12/2020","11/2/2021",43,195,581,805,"ablated"
